B0821   1 05811 
B0822   1 05812 
B083    1 0570  
B084    1 0743  
B085    1 0740  
B0860   1 05910 
B0861   1 05911 
B0862   1 05912 
B0869   1 05919 
B0870   1 05920 
B0871   1 05921 
B0872   1 05922 
B0879   1 05920 
B088    1 0784  
B09     1 0579  
B1001   1 05821 
B1009   1 05829 
B1081   1 05881 
B1082   1 05882 
B1089   1 05889 
B150    1 0700  
B159    1 0701  
B160    1 07021 
B161    1 07031 
B162    1 07020 
B169    1 07030 
B170    1 07052 
B1710   1 07051 
B1711   1 07041 
B172    1 07053 
B178    1 07059 
B179    1 0709  
B180    1 07033 
B181    1 07032 
B182    1 07054 
B188    1 07059 
B189    1 07059 
B190    1 0706  
B1910   1 07030 
B1911   1 07020 
B1920   1 07070 
B1921   1 07071 
B199    1 0709  
B20     1 042   
B250    2 0785  4841  
B251    2 0785  5731  
B252    2 0785  5770  
B258    1 0785  
B259    1 0785  
B260    1 0720  
B261    1 0721  
B262    1 0722  
B263    1 0723  
B2681   1 07271 
B2682   1 07279 
B2683   1 07279 
B2684   1 07272 
B2685   1 07279 
B2689   1 07279 
B269    1 0729  
B2700   1 075   
B2701   1 075   
B2702   1 075   
B2709   1 075   
B2710   1 075   
B2711   1 075   
B2712   1 075   
B2719   1 075   
B2780   1 075   
B2781   1 075   
B2782   1 075   
B2789   1 075   
B2790   1 075   
B2791   1 075   
B2792   1 075   
B2799   1 075   
B300    1 0771  
B301    1 0773  
B302    1 0772  
B303    1 0774  
B308    1 0778  
B309    1 07799 
B330    1 0741  
B331    1 0663  
B3320   1 07420 
B3321   1 07422 
B3322   1 07423 
B3323   1 07421 
B3324   1 07889 
B333    1 07959 
B334    1 07981 
B338    1 07989 
B340    1 0790  
B341    1 07989 
B342    1 07989 
B343    1 07983 
B344    1 07989 
B348    1 07989 
B349    1 7908  
B350    1 1100  
B351    1 1101  
B352    1 1102  
B353    1 1104  
B354    1 1105  
B355    1 1105  
B356    1 1103  
B358    1 1108  
B359    1 1109  
B360    1 1110  
B361    1 1111  
B362    1 1112  
B363    1 1113  
B368    1 1118  
B369    1 1119  
B370    1 1120  
B371    1 1124  
B372    1 1123  
B373    1 1121  
B3741   1 1122  
B3742   1 1122  
B3749   1 1122  
B375    1 11283 
B376    1 11281 
B377    2 1125  99591 
B3781   1 11284 
B3782   1 11285 
B3783   1 1120  
B3784   1 11282 
B3789   1 11289 
B379    1 1129  
B380    1 1140  
B381    1 1144  
B382    1 1145  
B383    1 1141  
B384    1 1142  
B387    1 1143  
B3881   1 1141  
B3889   1 1143  
B389    1 1149  
B390    1 11505 
B391    1 11505 
B392    1 11505 
B393    1 11509 
B394    1 11500 
B395    1 11510 
B399    1 11590 
B400    1 1160  
B401    1 1160  
B402    1 1160  
B403    1 1160  
B407    1 1160  
B4081   1 1160  
B4089   1 1160  
B409    1 1160  
B410    1 1161  
B417    1 1161  
B418    1 1161  
B419    1 1161  
B420    1 1171  
B421    1 1171  
